num_skills,required_skill_count,skills_matching,years_of_experience,experience_gap,education_duration_years,degree_level,num_certifications,num_languages,num_companies,num_responsibilities,job_responsibility_count,education_match,age_requirement_met,matched_score
10,1,0,9,4,3,2,0,0,3,1,1,0,1,0.65
40,0,0,11,6,0,1,0,0,4,1,1,0,0,0.53333336
17,1,0,7,5,2,0,0,0,1,1,1,1,1,0.65
0,1,0,8,5,2,0,0,0,2,1,1,1,0,0.6
39,1,0,10,5,0,2,0,2,3,1,1,1,1,0.78333336
13,0,0,30,29,0,0,0,0,4,1,1,0,0,0.48333332
26,1,0,11,7,0,0,0,0,6,1,1,0,0,0.85
3,1,0,4,1,0,0,0,0,2,1,1,1,0,0.71666664
9,1,0,6,4,0,0,0,0,3,1,1,1,1,0.75
10,1,0,5,4,2,2,0,0,1,1,1,1,1,0.48
13,1,0,7,3,0,1,0,0,1,1,1,1,0,0.78333336
20,1,0,15,12,0,0,0,0,4,1,1,1,0,0.85
48,1,0,12,11,0,0,0,0,6,1,1,0,0,0.85
8,1,0,6,5,2,2,0,0,1,1,1,1,0,0.65
9,1,0,7,5,0,1,0,0,1,1,1,1,1,0.6933333
18,1,0,8,6,2,2,0,0,1,1,1,1,0,0.65
10,1,0,30,30,0,0,0,0,4,1,1,0,0,0.76
10,1,0,6,3,0,1,0,0,1,1,1,1,1,0.7366667
26,1,0,25,21,10,0,0,0,3,1,1,0,0,0.78333336
6,1,0,8,3,0,0,0,0,2,1,1,1,1,0.65
4,1,0,14,9,0,1,0,0,4,1,1,1,1,0.34
13,1,0,6,5,0,0,0,0,1,1,1,1,0,0.62333333
17,0,0,12,12,0,2,0,0,2,1,1,1,1,0.85
16,1,0,7,7,0,1,0,0,1,1,1,1,1,0.6566667
16,0,0,7,4,0,1,0,0,1,1,1,1,1,0.6933333
13,0,0,7,4,0,0,0,0,1,1,1,0,0,0.85
16,0,0,6,3,0,1,0,0,1,1,1,1,1,0.82666665
9,1,0,26,25,0,1,0,0,3,1,1,1,1,0.57
39,0,0,19,14,0,0,0,0,3,1,1,0,0,0.85
11,0,0,7,2,0,1,0,0,1,1,1,0,0,0.82666665
70,1,0,8,6,14,2,0,0,9,1,1,1,1,0.76
15,1,0,7,7,0,1,3,0,1,1,1,1,1,0.68333334
18,1,0,6,1,2,0,2,0,1,1,1,0,1,0.75
45,1,0,15,10,6,2,0,0,6,1,1,0,1,0.85
7,1,0,0,-2,0,1,0,0,2,1,1,1,1,0.71666664
22,1,0,11,8,0,0,0,0,4,1,1,1,0,0.85
10,1,0,7,2,0,0,0,0,1,1,1,1,0,0.65
58,0,0,12,12,0,1,0,0,4,1,1,1,1,0.22666667
10,1,0,4,2,0,0,0,0,3,1,1,1,1,0.55
4,1,0,15,0,0,1,0,0,5,1,1,1,1,0.75
12,1,0,8,5,0,1,0,0,1,1,1,1,0,0.6
7,1,0,12,11,0,0,0,0,3,1,1,1,0,0.55
10,1,0,9,6,3,2,0,0,3,1,1,1,0,0.85
32,1,0,20,17,0,0,0,0,4,1,1,0,0,0.65
16,1,0,6,4,0,1,0,0,1,1,1,1,1,0.65
10,1,0,7,2,0,2,0,0,1,1,1,1,0,0.68333334
12,0,0,7,4,0,1,0,0,1,1,1,1,0,0.85
11,0,0,7,4,0,1,0,0,2,1,1,1,0,0.85
27,0,0,15,15,0,1,0,0,7,1,1,1,1,0.71666664
26,1,0,11,6,0,0,0,0,6,1,1,0,1,0.85
12,1,0,7,4,2,1,0,0,1,1,1,1,1,0.85
12,0,0,26,23,0,1,0,0,2,1,1,1,1,0.65
20,0,0,15,12,11,2,0,0,4,1,1,1,0,0.79333335
7,1,0,6,4,0,1,0,0,1,1,1,1,1,0.65
18,1,0,14,12,23,0,0,0,3,1,1,0,1,0.34333333
16,1,0,7,5,0,1,0,0,1,1,1,1,1,0.35
13,1,0,19,18,0,1,1,0,4,1,1,0,0,0.65
13,1,0,11,8,0,0,0,0,6,1,1,0,0,0.82666665
36,1,0,31,29,20,2,0,0,3,1,1,1,0,0.81666666
16,1,0,6,3,2,0,0,0,1,1,1,1,0,0.71666664
0,1,0,4,4,3,0,0,0,9,1,1,1,1,0.65
21,1,0,12,-3,0,2,0,0,4,1,1,1,1,0.55
56,1,0,0,-5,0,0,0,0,7,1,1,1,1,0.16
60,1,0,11,10,4,2,0,2,6,1,1,1,1,0.65
6,1,0,6,4,0,1,0,0,1,1,1,1,1,0.65
34,1,0,9,5,0,0,2,0,0,1,1,1,0,0.78333336
18,1,0,14,10,23,0,0,0,3,1,1,0,0,0.65
36,1,0,15,15,0,0,0,0,5,1,1,1,0,0.75
51,1,0,11,11,0,2,0,0,3,1,1,1,1,0.71666664
12,1,0,6,1,0,1,1,0,1,1,1,1,1,0.35
7,0,0,13,8,0,3,0,2,3,1,1,1,0,0.8933333
12,1,0,6,4,0,1,0,0,1,1,1,0,0,0.65
7,1,0,13,8,0,3,0,2,3,1,1,1,1,0.65
10,0,0,6,1,0,1,0,0,3,1,1,1,0,0.85
10,1,0,6,5,4,1,0,1,3,1,1,1,1,0.85
20,1,0,15,11,11,2,0,0,4,1,1,1,0,0.71666664
15,1,0,7,3,0,1,3,0,1,1,1,1,0,0.85
10,1,0,12,9,0,1,0,0,6,1,1,1,0,0.81666666
8,1,0,7,3,0,1,0,0,1,1,1,1,0,0.75
15,0,0,7,7,2,0,0,0,1,1,1,1,1,0.85
13,1,0,3,2,8,2,0,2,7,1,1,1,0,0.38333333
12,1,0,14,13,13,2,0,0,5,1,1,1,0,0.57666665
16,1,0,8,3,11,2,0,0,3,1,1,1,1,0.68333334
5,1,0,11,10,0,1,0,1,3,1,1,0,0,0.85
20,1,0,15,10,0,0,0,0,4,1,1,1,1,0.65
7,0,0,12,9,0,0,0,0,3,1,1,1,1,0.81666666
12,1,0,15,14,0,2,0,0,5,1,1,1,0,0.71666664
60,1,0,11,-4,4,2,0,2,6,1,1,1,1,0.71
55,1,0,17,16,0,0,0,0,4,1,1,1,1,0.26666668
20,1,0,15,13,0,0,0,0,4,1,1,1,0,0.78333336
5,1,0,7,2,0,1,0,0,2,1,1,1,1,0.5833333
20,0,0,6,5,0,1,0,0,2,1,1,1,0,0.78333336
12,1,0,7,2,0,1,0,0,1,1,1,1,1,0.48333332
15,1,0,6,5,2,0,2,0,1,1,1,1,1,0.46666667
11,1,0,6,2,0,1,0,0,1,1,1,1,0,0.78333336
24,1,0,9,8,8,0,0,3,5,1,1,0,1,0.34
32,1,0,20,17,0,0,0,0,4,1,1,1,1,0.81666666
16,0,0,6,1,2,0,0,0,1,1,1,1,0,0.9433333
18,1,0,8,3,2,2,0,0,1,1,1,1,0,0.71666664
35,1,0,13,8,0,2,0,0,2,1,1,0,1,0.38333333
11,1,0,7,6,0,1,0,0,1,1,1,1,0,0.65
10,0,0,22,19,7,2,0,0,3,1,1,1,1,0.78333336
65,1,0,19,17,1,0,0,4,4,1,1,1,1,0.28333333
32,1,0,8,7,0,1,0,0,2,1,1,1,1,0.81666666
12,1,0,10,9,3,2,0,0,3,1,1,1,1,0.48333332
17,0,0,15,15,3,1,0,0,5,1,1,1,1,0.55
13,1,0,7,2,2,1,0,0,1,1,1,1,0,0.65
10,1,0,5,-10,0,1,0,0,2,1,1,1,1,0.38333333
9,1,0,7,4,0,1,0,0,1,1,1,1,0,0.65
15,1,0,7,6,2,2,0,0,1,1,1,1,1,0.62
13,0,0,7,4,3,1,1,0,1,1,1,1,1,0.65
9,0,0,9,6,5,1,1,0,3,1,1,1,1,0.85
20,1,0,6,-9,0,1,0,0,2,1,1,1,1,0.75
21,1,0,12,7,0,2,0,0,4,1,1,1,1,0.85
36,1,0,15,11,0,0,0,0,5,1,1,0,0,0.76
27,0,0,12,7,0,0,3,0,3,1,1,0,0,0.81666666
27,1,0,12,8,10,2,0,3,6,1,1,1,0,0.85
10,0,0,5,4,0,1,0,0,3,1,1,1,0,0.75
16,1,0,6,5,0,1,0,0,1,1,1,1,1,0.35
66,1,0,17,14,0,0,0,0,4,1,1,1,1,0.65
9,1,0,9,8,5,1,1,0,3,1,1,1,1,0.85
8,1,0,7,5,0,1,0,0,1,1,1,1,1,0.77
14,1,0,7,2,0,1,0,0,1,1,1,1,1,0.35
13,1,0,20,18,0,1,0,0,3,1,1,1,1,0.31666666
16,0,0,6,5,0,1,0,0,1,1,1,1,0,0.71666664
6,0,0,12,9,0,1,0,0,4,1,1,0,1,0.71666664
9,1,0,6,1,0,1,0,0,1,1,1,1,0,0.68333334
16,1,0,6,4,0,1,0,0,1,1,1,1,1,0.35
15,1,0,7,2,0,1,3,0,1,1,1,0,1,0.51666665
29,1,0,18,15,0,1,0,0,4,1,1,1,1,0.87333333
40,1,0,12,9,0,2,0,0,3,1,1,0,0,0.55
10,1,0,4,3,0,0,0,0,3,1,1,0,0,0.65
16,0,0,7,7,0,1,0,0,1,1,1,1,1,0.85
38,1,0,0,-3,0,0,0,0,3,1,1,0,1,0.85
10,1,0,4,-11,0,0,0,0,3,1,1,1,1,0.35
17,1,0,10,5,3,2,3,0,3,1,1,0,1,0.79333335
18,1,0,6,1,2,1,0,0,1,1,1,1,1,0.38333333
45,1,0,15,15,6,2,0,0,6,1,1,0,0,0.56666666
11,1,0,8,8,0,1,0,0,1,1,1,1,1,0.68333334
9,1,0,19,14,28,0,1,0,4,1,1,0,1,0.71
6,0,0,0,-3,0,1,0,0,0,1,1,1,0,0.65
20,1,0,6,6,0,1,0,0,1,1,1,1,1,0.48333332
15,1,0,7,6,2,2,0,0,1,1,1,1,0,0.65
31,1,0,15,15,0,1,2,0,4,1,1,1,1,0.6933333
17,1,0,10,9,3,2,3,0,3,1,1,0,0,0.35
4,0,0,15,12,0,1,0,0,5,1,1,1,0,0.6066667
12,1,0,7,2,0,1,0,0,1,1,1,1,1,0.65
7,0,0,12,12,0,0,0,0,3,1,1,1,1,0.85
11,1,0,8,8,0,1,0,0,1,1,1,1,0,0.8833333
20,1,0,13,8,2,2,0,3,4,1,1,1,1,0.31666666
27,1,0,12,11,0,1,0,0,4,1,1,0,0,0.683333
8,1,0,7,5,0,1,0,0,1,1,1,0,0,0.62
15,1,0,16,13,4,0,0,0,3,1,1,0,1,0.85
47,1,0,25,24,0,2,0,0,7,1,1,0,1,0.76166666
14,1,0,6,4,2,0,0,0,2,1,1,1,1,0.65
8,1,0,6,4,2,2,0,0,1,1,1,0,1,0.35
61,1,0,12,11,0,2,1,0,8,1,1,1,1,0.55
13,1,0,3,-1,8,2,0,2,7,1,1,1,0,0.85
10,0,0,7,6,0,0,0,0,1,1,1,1,0,0.78333336
22,1,0,11,11,0,0,0,0,4,1,1,1,1,0.85
29,1,0,18,17,0,1,0,0,4,1,1,1,1,0.55
22,1,0,5,3,6,1,12,0,2,1,1,1,1,0.65
7,0,0,9,9,0,1,0,0,3,1,1,1,1,0.38333333
11,1,0,8,5,0,1,0,0,1,1,1,1,0,0.65
14,1,0,7,7,0,1,0,0,1,1,1,1,0,0.85
14,1,0,6,3,2,0,0,0,2,1,1,1,1,0.78333336
6,1,0,14,12,1,2,0,2,5,1,1,1,1,0.45
51,1,0,19,18,0,1,0,0,2,1,1,1,1,0.85
16,1,0,6,3,0,1,0,0,1,1,1,1,0,0.65
51,1,0,14,10,0,1,0,0,8,1,1,1,0,0.85
31,1,0,15,14,0,1,2,0,4,1,1,1,1,0.85
29,1,0,12,7,0,0,0,2,4,1,1,1,1,0.75
7,1,0,12,8,12,0,0,0,0,1,1,1,0,0.76
26,1,0,13,10,0,1,0,0,4,1,1,1,0,0.51666665
7,1,0,0,-3,0,1,0,0,2,1,1,1,1,0.81666666
8,1,0,7,4,0,1,0,0,1,1,1,1,1,0.85
14,1,0,6,5,0,1,1,0,1,1,1,1,1,0.5833333
9,0,0,7,4,0,1,0,0,1,1,1,1,1,0.65
8,1,0,7,4,0,1,0,0,1,1,1,1,1,0.68333334
29,1,0,11,10,0,1,0,0,2,1,1,1,1,0.65
0,1,0,4,-1,3,0,0,0,9,1,1,1,1,0.45
11,1,0,7,6,0,1,0,0,1,1,1,1,0,0.38333333
51,0,0,11,11,0,2,0,0,3,1,1,1,1,0.65
13,1,0,19,14,0,1,1,0,4,1,1,1,1,0.65
13,1,0,7,6,0,0,0,0,1,1,1,1,0,0.48333332
12,1,0,14,13,13,2,0,0,5,1,1,1,1,0.6
11,1,0,6,3,2,1,0,0,1,1,1,1,1,0.77
4,1,0,12,7,2,2,0,0,9,1,1,0,1,0.35
11,1,0,6,6,0,1,0,0,1,1,1,1,1,0.62
14,1,0,7,4,0,0,1,0,1,1,1,1,0,0.71666664
63,1,0,20,5,9,1,0,0,5,1,1,1,1,0.81666666
62,1,0,13,8,0,2,0,3,4,1,1,0,1,0.51666665
61,1,0,12,10,0,1,0,0,5,1,1,1,0,0.6666667
16,0,0,8,7,11,2,0,0,3,1,1,1,0,0.65
90,1,0,23,18,8,2,0,3,4,1,1,0,1,0.31666666
10,1,0,7,2,0,0,0,0,1,1,1,1,1,0.65
10,0,0,6,3,0,1,0,0,1,1,1,1,0,0.71666664
51,0,0,19,18,0,1,0,0,2,1,1,1,0,0.6
46,1,0,13,-2,13,2,0,0,3,1,1,1,1,0.85
10,1,0,0,-2,2,2,0,0,0,1,1,1,1,0.65
15,1,0,7,7,0,1,3,0,1,1,1,1,1,0.6
36,1,0,9,4,0,2,0,0,2,1,1,1,1,0.71666664
7,0,0,7,6,0,0,0,0,2,1,1,1,0,0.75
21,1,0,12,9,0,2,0,0,4,1,1,1,0,0.85
8,1,0,8,6,3,1,0,0,1,1,1,1,1,0.65
22,0,0,11,8,0,0,0,0,4,1,1,1,1,0.78333336
9,1,0,19,18,28,0,1,0,4,1,1,0,0,0.583333
14,1,0,7,5,0,1,0,0,1,1,1,1,1,0.80333334
61,1,0,12,7,0,1,0,0,5,1,1,0,1,0.6
16,0,0,6,1,0,0,0,0,1,1,1,0,0,0.85
61,1,0,12,10,0,2,1,0,8,1,1,1,1,0.24
52,1,0,13,-2,0,1,0,1,3,1,1,1,1,0.65
82,0,0,13,8,30,0,0,0,8,1,1,0,0,0.6933333
60,1,0,15,10,0,0,0,0,3,1,1,0,1,0.85
12,1,0,10,8,3,2,0,0,3,1,1,1,1,0.28333333
15,1,0,11,10,11,0,0,0,5,1,1,1,0,0.75
11,1,0,8,-7,0,0,0,0,1,1,1,0,1,0.35
21,1,0,7,2,0,1,0,0,1,1,1,1,1,0.33333334
62,1,0,12,8,0,0,0,0,6,1,1,0,0,0.6433333
13,1,0,14,11,0,1,0,0,4,1,1,1,0,0.85
11,1,0,21,16,18,0,0,0,3,1,1,0,1,0.65
10,1,0,7,5,0,0,1,0,1,1,1,0,0,0.55
7,1,0,12,7,12,0,0,0,0,1,1,1,1,0.76
66,1,0,17,15,0,0,0,0,4,1,1,1,1,0.54
36,0,0,13,10,0,1,0,2,5,1,1,1,0,0.65
12,1,0,7,6,0,1,0,0,1,1,1,1,1,0.82666665
10,1,0,0,-2,2,2,0,0,0,1,1,1,1,0.33333334
7,1,0,12,11,0,0,0,0,3,1,1,1,1,0.35
14,1,0,7,4,0,1,0,0,1,1,1,1,1,0.81666666
14,1,0,7,6,0,1,0,0,1,1,1,1,0,0.62666667
12,0,0,7,2,0,1,0,0,1,1,1,0,0,0.85
21,1,0,7,4,0,1,0,0,1,1,1,1,0,0.78333336
27,1,0,10,8,0,1,0,0,3,1,1,1,1,0.85
33,1,0,14,10,10,2,0,0,3,1,1,1,0,0.85
8,1,0,11,-4,0,1,0,0,3,1,1,1,1,0.65
47,1,0,15,13,12,2,0,0,7,1,1,1,1,0.77
35,1,0,10,9,0,2,0,0,3,1,1,1,1,0.55
56,1,0,0,-5,0,0,0,0,7,1,1,1,1,0.21666667
22,1,0,13,10,0,1,0,0,4,1,1,1,1,0.31666666
13,1,0,7,5,2,1,0,0,1,1,1,1,0,0.71666664
5,1,0,11,6,0,1,0,1,3,1,1,1,1,0.65
10,1,0,9,7,3,2,0,0,3,1,1,1,1,0.71666664
19,1,0,18,18,0,0,0,0,4,1,1,1,0,0.65
18,0,0,6,3,2,1,0,0,1,1,1,1,0,0.95
13,1,0,11,10,0,1,0,0,2,1,1,1,0,0.44666666
70,1,0,8,7,14,2,0,0,9,1,1,1,1,0.46333334
10,0,0,12,9,0,1,0,0,6,1,1,1,0,0.85
48,1,0,12,11,0,0,0,0,6,1,1,0,1,0.78333336
13,1,0,6,4,2,2,0,0,2,1,1,1,0,0.65
13,1,0,30,26,0,0,0,0,4,1,1,1,0,0.81666666
28,1,0,8,8,4,0,0,0,3,1,1,1,0,0.85
13,0,0,6,3,2,2,0,0,2,1,1,1,1,0.68333334
6,1,0,14,14,1,2,0,2,5,1,1,1,1,0.65
13,1,0,7,6,0,0,0,0,1,1,1,1,1,0.81666666
33,1,0,14,9,10,2,0,0,3,1,1,1,1,0.78333336
10,1,0,9,8,3,2,0,0,3,1,1,1,1,0.55
36,1,0,15,14,0,0,0,0,5,1,1,0,0,0.81666666
16,1,0,8,4,4,0,0,3,3,1,1,1,0,0.35
21,1,0,7,7,0,1,0,0,1,1,1,1,1,0.62
32,1,0,20,15,0,0,0,0,4,1,1,0,1,0.68333334
6,1,0,7,2,0,0,0,0,1,1,1,1,0,0.71666664
19,1,0,7,6,0,1,0,0,1,1,1,1,1,0.31666666
113,1,0,13,12,7,0,0,0,3,1,1,1,1,0.87333333
20,0,0,12,11,0,2,0,0,7,1,1,1,0,0.71666664
8,1,0,6,3,2,2,0,0,1,1,1,1,1,0.68333334
10,1,0,4,1,0,0,0,0,3,1,1,0,1,0.81666666
38,1,0,12,11,12,2,0,0,5,1,1,0,1,0.7366667
26,0,0,25,24,10,0,0,0,3,1,1,0,0,0.65
11,1,0,7,5,0,1,0,0,1,1,1,1,1,0.45
5,1,0,11,10,0,1,0,1,3,1,1,1,1,0.78333336
10,1,0,22,20,7,2,0,0,3,1,1,1,1,0.65
8,1,0,6,5,0,1,0,0,1,1,1,1,0,0.57666665
36,0,0,15,12,0,0,0,0,5,1,1,1,1,0.75
14,1,0,10,8,0,2,2,0,4,1,1,1,1,0.34
58,1,0,12,10,0,1,0,0,4,1,1,1,1,0.30666667
61,1,0,12,8,0,2,1,0,8,1,1,1,0,0.71666664
113,0,0,13,10,7,0,0,0,3,1,1,1,1,0.85
12,1,0,6,1,0,1,0,0,1,1,1,1,1,0.71666664
10,1,0,7,5,3,2,0,0,1,1,1,1,1,0.35
26,1,0,13,11,0,1,0,0,4,1,1,1,1,0.19
8,1,0,21,16,0,1,0,0,7,1,1,1,0,0.5
39,1,0,19,17,0,0,0,0,3,1,1,0,1,0.85
9,0,0,7,6,0,0,0,0,1,1,1,1,0,0.65
12,1,0,8,6,0,1,0,0,1,1,1,0,0,0.5933333
83,1,0,9,7,0,1,4,0,3,1,1,1,1,0.45
32,1,0,10,5,0,1,0,0,5,1,1,1,1,0.9266667
58,1,0,12,7,0,1,0,0,4,1,1,1,0,0.53333336
16,1,0,7,6,0,1,0,0,1,1,1,1,1,0.85
15,1,0,12,12,2,0,0,0,3,1,1,1,0,0.85
6,1,0,0,-1,0,1,0,0,0,1,1,1,0,0.5466667
14,1,0,12,11,3,1,0,0,5,1,1,1,1,0.78333336
8,1,0,9,8,0,0,0,0,4,1,1,0,1,0.5833333
46,1,0,13,8,13,2,0,0,3,1,1,1,1,0.95
10,1,0,5,0,0,1,0,0,3,1,1,1,1,0.71666664
3,1,0,4,4,0,0,0,0,2,1,1,1,0,0.78333336
22,1,0,5,5,6,1,12,0,2,1,1,1,0,0.85
51,1,0,14,11,0,1,0,0,8,1,1,1,1,0.85
36,1,0,15,10,0,0,0,0,5,1,1,0,1,0.81666666
10,1,0,9,4,3,2,0,0,3,1,1,1,1,0.65
10,1,0,7,2,0,0,0,0,1,1,1,1,1,0.51666665
6,1,0,8,8,0,0,0,0,2,1,1,1,1,0.65
4,0,0,17,12,0,1,0,0,4,1,1,1,0,0.7266667
91,1,0,10,-5,0,2,0,0,3,1,1,1,1,0.85
21,0,0,7,4,0,1,0,0,1,1,1,1,0,0.85
0,1,0,4,1,3,0,0,0,9,1,1,1,0,0.55
33,1,0,14,-1,3,2,0,4,3,1,1,1,1,0.71666664
14,0,0,26,21,3,0,0,0,3,1,1,0,0,0.81666666
16,0,0,6,5,0,0,0,0,1,1,1,0,0,0.75
0,1,0,8,3,2,0,0,0,2,1,1,1,1,0.083333336
6,1,0,8,3,0,1,0,1,2,1,1,1,0,0.78333336
32,1,0,10,9,0,1,0,0,5,1,1,1,1,0.78333336
8,1,0,7,4,0,1,0,0,1,1,1,1,1,0.65
6,1,0,6,6,0,1,0,0,2,1,1,1,0,0.65
22,1,0,13,12,0,1,0,0,4,1,1,1,1,0.28333333
14,1,0,12,10,3,1,0,0,5,1,1,1,1,0.55
40,1,0,11,9,0,1,0,0,4,1,1,1,1,0.1
10,1,0,6,5,0,1,0,0,1,1,1,1,0,0.45
113,1,0,13,12,7,0,0,0,3,1,1,1,0,0.71666664
6,1,0,12,7,0,1,0,0,4,1,1,0,1,0.55
20,0,0,15,15,11,2,0,0,4,1,1,1,1,0.80333334
13,1,0,7,2,0,0,0,0,1,1,1,1,1,0.33333334
10,1,0,6,6,0,1,0,0,1,1,1,1,0,0.85
12,1,0,10,5,0,1,0,0,8,1,1,1,1,0.85
10,1,0,7,6,0,0,0,0,1,1,1,1,1,0.41666666
16,1,0,6,5,0,1,0,0,1,1,1,1,1,0.62666667
32,1,0,12,10,5,2,0,0,3,1,1,1,1,0.82666665
15,1,0,7,4,0,1,0,0,1,1,1,1,0,0.68333334
14,1,0,6,5,0,1,1,0,1,1,1,1,0,0.65
12,1,0,7,3,0,1,0,0,1,1,1,1,0,0.75
18,0,0,6,5,2,1,0,0,1,1,1,1,0,0.85
36,1,0,31,30,20,2,0,0,3,1,1,0,0,0.82666665
26,0,0,11,11,0,0,0,0,6,1,1,0,1,0.79333335
9,0,0,6,3,0,1,0,0,1,1,1,1,1,0.68333334
8,1,0,9,9,0,0,0,0,4,1,1,0,0,0.85
12,1,0,14,9,13,2,0,0,5,1,1,1,1,0.6433333
6,1,0,6,1,0,1,0,0,1,1,1,1,0,0.65
27,1,0,12,8,0,0,3,0,3,1,1,1,0,0.76
13,1,0,11,10,0,1,0,0,2,1,1,1,1,0.81666666
35,1,0,10,6,0,2,0,0,3,1,1,1,0,0.85
7,1,0,13,-2,0,3,0,2,3,1,1,1,1,0.45
17,0,0,7,2,3,0,0,0,1,1,1,0,0,0.85
12,0,0,7,7,0,1,0,0,1,1,1,1,1,0.85
10,0,0,7,4,3,2,0,0,1,1,1,1,0,0.65
38,1,0,12,7,12,2,0,0,5,1,1,0,0,0.68333334
7,1,0,6,-9,0,1,0,0,1,1,1,1,1,0.0
27,1,0,15,10,0,1,0,0,2,1,1,1,1,0.6933333
17,1,0,10,8,3,2,3,0,3,1,1,1,1,0.6
31,1,0,15,13,0,1,2,0,4,1,1,1,1,0.45
22,1,0,11,6,0,0,0,0,4,1,1,1,1,0.85
6,1,0,6,4,0,1,0,0,2,1,1,1,1,0.71666664
6,1,0,0,-1,0,1,0,0,0,1,1,0,0,0.75
52,1,0,11,11,0,2,0,0,3,1,1,1,1,0.78333336
30,1,0,11,6,0,1,0,0,4,1,1,1,0,0.77
7,1,0,7,5,0,1,0,0,1,1,1,1,1,0.55
52,1,0,13,11,0,1,0,1,3,1,1,1,1,0.34
34,1,0,11,11,0,1,18,0,7,1,1,1,1,0.85
0,1,0,11,10,0,1,0,0,6,1,1,1,1,0.85
16,1,0,6,-9,2,1,0,0,1,1,1,1,1,0.5466667
10,1,0,7,6,0,0,1,0,1,1,1,0,0,0.47666666
56,1,0,20,17,20,2,0,0,4,1,1,1,0,0.85
12,1,0,7,7,0,1,0,0,1,1,1,1,1,0.65
16,1,0,7,2,0,1,0,0,1,1,1,1,0,0.65
35,1,0,17,16,8,0,0,0,4,1,1,1,1,0.65
45,1,0,15,10,6,2,0,0,6,1,1,0,0,0.55
11,0,0,7,4,2,1,0,0,1,1,1,1,0,0.85
16,0,0,7,7,0,1,0,0,1,1,1,1,1,0.81666666
11,1,0,6,1,0,1,0,0,2,1,1,1,1,0.31666666
29,1,0,11,8,0,1,0,0,2,1,1,1,0,0.68333334
14,1,0,7,2,0,1,0,0,1,1,1,1,1,0.71666664
36,0,0,15,12,0,0,0,0,5,1,1,0,0,0.65
56,0,0,0,-3,0,0,0,0,7,1,1,1,1,0.31666666
8,0,0,7,6,0,1,0,0,1,1,1,1,0,0.71666664
